2023 Zip Code Viral Suppression Data - AIDSVu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For additional information regarding this dataset, please see the Data Methods by clicking this row or by visiting https://aidsvu.org/data-methods/data-methods-city-level/.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,City,"City
Name","Zip
Code","ZIP
Code
Percent","ZIP
Code
Cases","Male
Percent","Male
Cases","Male Case
Denominator","Female
Percent","Female
Cases","Female Case
Denominator","Black
Percent","Black
Cases","Black Case
Denominator","White
Percent","White
Cases","White Case
Denominator","Hispanic
Percent","Hispanic
Cases","Hispanic
Case
Denominator","Age
13-24
Percent","Age
13-24
Cases","Age 13-24
Case
Denominator","Age
25-44
Percent","Age
25-44
Cases","Age 25-44
Case
Denominator","Age
45-59
Percent","Age
45-59
Cases","Age 45-59
Case
Denominator","Age
60+
Percent","Age
60+
Cases","Age 60+
Case
Denominator"
2023,NewYork,"New
York
City",10001,60.7,521,61.6,483,784,51.4,38,74,53.5,121,226,66.3,234,353,60.5,135,223,-1,-1,-1,66.1,150,227,59,183,310,58.8,187,318
2023,NewYork,"New
York
City",10002,63.9,530,62.1,390,628,69.3,140,202,65,139,214,64.5,107,166,63.2,239,378,-1,-1,9,60.4,102,169,65.8,185,281,64.4,239,371
2023,NewYork,"New
York
City",10003,51,351,52.7,333,632,32.1,18,56,41.8,41,98,54.3,197,363,45.7,79,173,-1,-1,8,41.7,43,103,49.8,113,227,54.6,191,350
2023,NewYork,"New
York
City",10004,48.3,14,51.9,14,27,0,0,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,12,-1,-1,-1
2023,NewYork,"New
York
City",10005,60.8,45,60.6,43,71,-1,-1,-1,-1,-1,-1,65.8,25,38,61.1,11,18,-1,-1,-1,60,15,25,69.7,23,33,40,6,15
2023,NewYork,"New
York
City",10006,44.1,15,50,15,30,0,0,-1,-1,-1,-1,52.6,10,19,-1,-1,-1,-8,0,0,-1,-1,9,31.3,5,16,-1,-1,-1
2023,NewYork,"New
York
City",10007,46.2,24,50,23,46,-1,-1,6,-1,-1,-1,59.3,16,27,-1,-1,8,-8,0,0,60,6,10,50,11,22,35,7,20
2023,NewYork,"New
York
City",10009,67.6,571,66.7,450,675,71.2,121,170,69.8,127,182,65.7,176,268,67.1,222,331,-1,-1,-1,63.3,100,158,70.5,184,261,67.1,283,422
2023,NewYork,"New
York
City",10010,61.5,257,62.5,243,389,48.3,14,29,58.5,48,82,61.3,122,199,62.5,70,112,-1,-1,-1,69.7,46,66,59.4,98,165,60,111,185
2023,NewYork,"New
York
City",10011,57.7,942,58.5,907,1551,42.7,35,82,54.9,118,215,59.6,578,969,52.7,187,355,-1,-1,-1,57.1,140,245,60.2,339,563,56.3,462,821
2023,NewYork,"New
York
City",10012,45.3,106,44.7,98,219,53.3,8,15,23.8,5,21,48.6,69,142,42.9,24,56,-8,0,0,45.5,20,44,35.4,29,82,52.8,57,108
2023,NewYork,"New
York
City",10013,29.6,91,28.8,84,292,46.7,7,15,10.9,10,92,47.2,51,108,16.3,13,80,-1,-1,-1,42.1,24,57,30.2,29,96,24.2,37,153
2023,NewYork,"New
York
City",10014,55.5,351,55.7,341,612,47.6,10,21,49.3,37,75,55.9,229,410,56.9,70,123,-8,0,0,73.7,56,76,49.8,100,201,54.8,195,356
2023,NewYork,"New
York
City",10016,46,349,46.8,328,701,36.2,21,58,31.6,59,187,54.2,166,306,43.1,91,211,60,6,10,45.8,71,155,45,107,238,46.3,165,356
2023,NewYork,"New
York
City",10017,54.2,96,57,90,158,31.6,6,19,40,16,40,66.3,57,86,48.6,17,35,-1,-1,-1,56.1,23,41,54.1,40,74,52.5,32,61
2023,NewYork,"New
York
City",10018,54,210,55.8,203,364,28,7,25,42.7,44,103,58.1,79,136,59,69,117,-1,-1,11,49.7,73,147,63.8,90,141,47.8,43,90
2023,NewYork,"New
York
City",10019,61.3,813,61.9,781,1261,49.2,32,65,59.7,108,181,62.8,374,596,58.5,257,439,-1,-1,8,65.2,334,512,60,256,427,57.8,219,379
2023,NewYork,"New
York
City",10020,-1,-1,-1,-1,9,0,0,-1,0,0,-1,0,0,-1,0,0,-1,-8,0,0,-1,-1,-1,0,0,6,0,0,-1
2023,NewYork,"New
York
City",10021,41.1,115,41.5,105,253,37,10,27,48.5,16,33,42.4,73,172,27.8,15,54,-1,-1,-1,54.1,20,37,37.6,35,93,40.4,59,146
2023,NewYork,"New
York
City",10022,56.6,158,59.5,153,257,22.7,5,22,36.8,14,38,65.4,102,156,47.1,32,68,-8,0,0,62.2,28,45,53.2,41,77,56.7,89,157
2023,NewYork,"New
York
City",10023,64.5,365,63.7,330,518,72.9,35,48,61.1,66,108,63.8,192,301,69.8,81,116,-8,0,0,63.8,67,105,59.9,91,152,67,207,309
2023,NewYork,"New
York
City",10024,57.8,312,57,277,486,64.8,35,54,57,49,86,60.9,167,274,52.6,81,154,-1,-1,-1,58.2,46,79,58.8,80,136,57,184,323
2023,NewYork,"New
York
City",10025,54.9,824,54.6,697,1276,56.7,127,224,49.3,238,483,60.7,270,445,53.8,262,487,40,6,15,52.6,184,350,58.8,248,422,54.1,386,713
2023,NewYork,"New
York
City",10026,59.3,536,60.4,410,679,56,126,225,58.5,311,532,63.6,68,107,58.5,134,229,58.3,7,12,59.9,154,257,64.9,200,308,53.5,175,327
2023,NewYork,"New
York
City",10027,59.1,718,59.5,550,924,57.9,168,290,57.7,395,684,68.9,115,167,56.4,172,305,63.2,12,19,57.9,197,340,62.8,258,411,56.5,251,444
2023,NewYork,"New
York
City",10028,61.6,130,63.8,120,188,43.5,10,23,46.2,18,39,69.5,73,105,55.4,31,56,-8,0,0,73.5,36,49,56.3,36,64,59.2,58,98
2023,NewYork,"New
York
City",10029,61.5,943,59.8,648,1084,65.6,295,450,58.9,345,586,68.3,125,183,60.6,425,701,52.9,9,17,63.6,255,401,62.9,312,496,59.2,367,620
2023,NewYork,"New
York
City",10030,59.2,442,61.6,334,542,52.7,108,205,56.9,267,469,68.6,48,70,59.8,104,174,-1,-1,6,61,150,246,64.2,167,260,51.9,122,235
2023,NewYork,"New
York
City",10031,60.7,624,62.1,529,852,54,95,176,56.9,250,439,69.3,113,163,58.3,221,379,-1,-1,10,65.4,225,344,62.5,203,325,55,192,349
2023,NewYork,"New
York
City",10032,56,640,56,534,954,56.1,106,189,51.8,199,384,53.8,93,173,58.5,316,540,38.5,5,13,56,211,377,59,210,356,53.9,214,397
2023,NewYork,"New
York
City",10033,66.8,462,67.7,402,594,61.2,60,98,57.4,62,108,73.5,114,155,66.3,262,395,55.6,5,9,68.7,149,217,65.3,154,236,67,154,230
2023,NewYork,"New
York
City",10034,69.6,423,69.3,348,502,70.8,75,106,65.1,95,146,69.1,94,136,73.3,222,303,-1,-1,5,68.5,139,203,70.4,145,206,69.6,135,194
2023,NewYork,"New
York
City",10035,56.1,590,55.1,441,800,59.1,149,252,53.9,283,525,59.6,68,114,56.6,214,378,50,5,10,60.4,194,321,53,176,332,55.3,215,389
2023,NewYork,"New
York
City",10036,66.7,794,68,760,1118,47.2,34,72,60.2,130,216,70.1,363,518,66.2,235,355,-1,-1,5,64.3,238,370,68.5,302,441,67.6,253,374
2023,NewYork,"New
York
City",10037,64.6,454,64.9,370,570,63.2,84,133,63,273,433,63.1,53,84,67.5,104,154,66.7,6,9,65,160,246,64.4,143,222,64.2,145,226
2023,NewYork,"New
York
City",10038,62.9,112,66.2,88,133,53.3,24,45,63,34,54,64.2,34,53,58.9,33,56,-1,-1,-1,63,29,46,64.3,45,70,60,36,60
2023,NewYork,"New
York
City",10039,66.3,454,68.6,335,488,60.4,119,197,63.7,281,441,70.7,41,58,70.3,111,158,46.2,6,13,68.5,165,241,63,148,235,68.9,135,196
2023,NewYork,"New
York
City",10040,68.1,397,69.1,346,501,62.2,51,82,72.2,91,126,71.4,85,119,65.3,209,320,-1,-1,5,70,142,203,67.5,133,197,66.9,119,178
2023,NewYork,"New
York
City",10044,61.1,77,59.8,61,102,66.7,16,24,64.3,36,56,69.6,16,23,61.8,21,34,0,0,-1,76.5,26,34,48.6,17,35,60.7,34,56
2023,NewYork,"New
York
City",10065,69.2,135,69.2,119,172,69.6,16,23,-1,-1,-1,71.9,69,96,73.2,41,56,-8,0,0,63,34,54,64.7,33,51,75.6,68,90
2023,NewYork,"New
York
City",10069,72.7,24,74.1,20,27,-1,-1,6,-1,-1,-1,81.8,9,11,-1,-1,-1,-8,0,0,70,7,10,62.5,5,8,80,12,15
2023,NewYork,"New
York
City",10075,64.3,74,64.8,70,108,-1,-1,7,-1,-1,-1,79.3,46,58,50,10,20,0,0,-1,41,16,39,66.7,22,33,85.7,36,42
2023,NewYork,"New
York
City",10128,69.7,237,70.2,203,289,66.7,34,51,64.7,44,68,73,103,141,75,78,104,0,0,-1,59,46,78,72.6,85,117,73.6,106,144
2023,NewYork,"New
York
City",10162,-1,-1,-1,-1,-1,-8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,0,0,-1,-1,-1,-1,-1,-1
2023,NewYork,"New
York
City",10165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,NewYork,"New
York
City",10170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,NewYork,"New
York
City",10171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,0,0,-1,-1,-1,-8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,NewYork,"New
York
City",10280,43.6,17,44.4,16,36,-1,-1,-1,-1,-1,-1,36.4,8,22,61.5,8,13,-8,0,0,-1,-1,6,38.1,8,21,50,6,12
2023,NewYork,"New
York
City",10282,65,13,58.8,10,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55.6,5,9,85.7,6,7
2023,NewYork,"New
York
City",10301,65.6,269,64.1,186,290,69.2,83,120,64.3,119,185,63.8,51,80,65.9,83,126,-1,-1,-1,57.4,58,101,70.9,95,134,66.7,114,171
2023,NewYork,"New
York
City",10302,66,103,68.4,65,95,62.3,38,61,67.6,46,68,67.9,19,28,64.8,35,54,-1,-1,-1,61,25,41,63,34,54,73.7,42,57
2023,NewYork,"New
York
City",10303,64.6,124,62.8,71,113,67.1,53,79,72,77,107,69.2,9,13,46.9,30,64,-1,-1,-1,58.1,36,62,72.1,44,61,64.6,42,65
2023,NewYork,"New
York
City",10304,67.5,313,70.4,219,311,61.4,94,153,64.6,164,254,73.6,53,72,71.6,83,116,-1,-1,-1,69.4,93,134,65.8,104,158,68,115,169
2023,NewYork,"New
York
City",10305,68.4,104,68.4,65,95,68.4,39,57,70.4,19,27,62.3,33,53,73,46,63,-1,-1,-1,47.4,18,38,82.1,46,56,67.9,38,56
